,DateTime,Thermocouple Temperature (C),Sensor Temp (Hz),Sensor Moist (Hz)
12712,2017-10-05 14:02:35.335985,24.75,5181.35,13513.0
12713,2017-10-05 14:02:36.375420,25.25,5291.01,13698.0
12714,2017-10-05 14:02:37.399270,24.25,5291.01,13698.0
12715,2017-10-05 14:02:38.438480,24.5,5347.59,13513.0
12716,2017-10-05 14:02:39.478370,25.0,5434.78,13513.0
12717,2017-10-05 14:02:40.518059,25.25,5347.59,13513.0
12718,2017-10-05 14:02:41.557387,25.25,5102.04,13698.0
12719,2017-10-05 14:02:42.581275,25.0,5181.35,13513.0
12720,2017-10-05 14:02:43.620632,25.0,5291.01,13513.0
12721,2017-10-05 14:02:44.660530,24.75,5291.01,13698.0
12722,2017-10-05 14:02:45.699957,25.0,5434.78,13513.0
12723,2017-10-05 14:02:46.723517,25.25,5291.01,13698.0
12724,2017-10-05 14:02:47.763048,24.25,5376.34,13698.0
12725,2017-10-05 14:02:48.802495,24.25,5291.01,13513.0
12726,2017-10-05 14:02:49.842255,24.75,5291.01,13698.0
12727,2017-10-05 14:02:50.881872,24.75,5464.48,13513.0
12728,2017-10-05 14:02:51.905354,25.0,5464.48,13698.0
12729,2017-10-05 14:02:52.944977,24.5,5319.15,15151.0
12730,2017-10-05 14:02:53.984568,24.75,5291.01,13513.0
12731,2017-10-05 14:02:55.024260,24.75,5291.01,13698.0
12732,2017-10-05 14:02:56.047542,24.75,5263.16,13513.0
12733,2017-10-05 14:02:57.087133,24.5,5291.01,13698.0
12734,2017-10-05 14:02:58.126606,25.0,5263.16,13513.0
12735,2017-10-05 14:02:59.166147,24.75,5263.16,13698.0
12736,2017-10-05 14:03:00.205914,24.5,5263.16,13513.0
12737,2017-10-05 14:03:01.229296,25.0,5291.01,13513.0
12738,2017-10-05 14:03:02.269277,25.0,5263.16,13698.0
12739,2017-10-05 14:03:03.308381,24.75,5263.16,13698.0
12740,2017-10-05 14:03:04.348226,24.75,5263.16,13513.0
12741,2017-10-05 14:03:05.371575,24.75,5181.35,13513.0
12742,2017-10-05 14:03:06.411288,24.75,5434.78,13888.0
12743,2017-10-05 14:03:07.451017,24.75,5263.16,13513.0
12744,2017-10-05 14:03:08.490613,24.75,5181.35,13513.0
12745,2017-10-05 14:03:09.530414,24.5,5555.56,13513.0
12746,2017-10-05 14:03:10.553582,24.75,5263.16,13513.0
12747,2017-10-05 14:03:11.593294,24.75,5291.01,13698.0
12748,2017-10-05 14:03:12.632876,25.0,5263.16,13698.0
12749,2017-10-05 14:03:13.672552,25.0,5291.01,13513.0
12750,2017-10-05 14:03:14.696111,24.5,5405.41,13513.0
12751,2017-10-05 14:03:15.735678,25.25,5464.48,13513.0
12752,2017-10-05 14:03:16.775165,24.5,5464.48,13698.0
12753,2017-10-05 14:03:17.814777,25.0,5291.01,13513.0
12754,2017-10-05 14:03:18.854072,24.75,5263.16,13698.0
12755,2017-10-05 14:03:19.877834,25.0,5291.01,13513.0
12756,2017-10-05 14:03:20.917718,24.75,5076.14,13698.0
12757,2017-10-05 14:03:21.956892,24.75,5128.21,13513.0
12758,2017-10-05 14:03:22.997150,24.75,5263.16,13698.0
12759,2017-10-05 14:03:24.019996,24.5,5291.01,13698.0
12760,2017-10-05 14:03:25.060074,25.25,5263.16,13513.0
12761,2017-10-05 14:03:26.099188,24.75,5263.16,13513.0
12762,2017-10-05 14:03:27.138794,24.75,5494.51,13698.0
12763,2017-10-05 14:03:28.178256,25.0,5076.14,13513.0
12764,2017-10-05 14:03:29.202033,24.75,5263.16,13698.0
12765,2017-10-05 14:03:30.241769,24.25,5263.16,13698.0
12766,2017-10-05 14:03:31.281202,25.0,5263.16,13698.0
12767,2017-10-05 14:03:32.320732,24.0,5263.16,13513.0
12768,2017-10-05 14:03:33.344132,24.5,5263.16,13513.0
12769,2017-10-05 14:03:34.383863,24.5,5050.5,13333.0
12770,2017-10-05 14:03:35.423494,25.0,5291.01,13513.0
12771,2017-10-05 14:03:36.463683,24.75,5154.64,13513.0
12772,2017-10-05 14:03:37.502439,24.5,5263.16,13698.0
12773,2017-10-05 14:03:38.526343,24.75,5376.34,13698.0
12774,2017-10-05 14:03:39.565735,24.25,5208.33,13513.0
12775,2017-10-05 14:03:40.605734,25.0,5405.41,13157.0
12776,2017-10-05 14:03:41.644721,24.5,5263.16,13513.0
12777,2017-10-05 14:03:42.668799,24.25,5263.16,13698.0
12778,2017-10-05 14:03:43.707964,24.75,5263.16,13513.0
12779,2017-10-05 14:03:44.747861,25.0,5376.34,13513.0
12780,2017-10-05 14:03:45.787154,25.0,5319.15,13513.0
12781,2017-10-05 14:03:46.826767,25.0,5025.13,13513.0
12782,2017-10-05 14:03:47.850733,24.5,5263.16,13698.0
12783,2017-10-05 14:03:48.889937,25.25,5405.41,13513.0
12784,2017-10-05 14:03:49.929601,24.75,5263.16,13513.0
12785,2017-10-05 14:03:50.969129,25.0,5102.04,13513.0
12786,2017-10-05 14:03:51.992851,24.75,5263.16,13513.0
12787,2017-10-05 14:03:53.032321,25.0,5263.16,13698.0
12788,2017-10-05 14:03:54.071716,25.25,5376.34,13513.0
12789,2017-10-05 14:03:55.111412,25.0,5263.16,13698.0
12790,2017-10-05 14:03:56.150976,24.75,5263.16,13698.0
12791,2017-10-05 14:03:57.174680,24.0,5263.16,13698.0
12792,2017-10-05 14:03:58.214631,24.25,5181.35,13513.0
12793,2017-10-05 14:03:59.253646,25.0,5263.16,13698.0
12794,2017-10-05 14:04:00.293261,24.5,5263.16,13513.0
12795,2017-10-05 14:04:01.316839,24.5,5586.59,12820.0
12796,2017-10-05 14:04:02.356299,25.0,5586.59,13698.0
12797,2017-10-05 14:04:03.395987,25.0,5263.16,13698.0
12798,2017-10-05 14:04:04.435531,24.75,5263.16,13513.0
12799,2017-10-05 14:04:05.475501,24.75,5181.35,13513.0
12800,2017-10-05 14:04:06.498669,25.0,5263.16,13888.0
12801,2017-10-05 14:04:07.538241,24.75,5263.16,13513.0
12802,2017-10-05 14:04:08.577804,24.75,5347.59,13698.0
12803,2017-10-05 14:04:09.617426,25.0,5464.48,13513.0
12804,2017-10-05 14:04:10.657111,25.0,5263.16,13698.0
12805,2017-10-05 14:04:11.680762,24.75,5263.16,13513.0
12806,2017-10-05 14:04:12.720333,24.75,5586.59,13698.0
12807,2017-10-05 14:04:13.759795,25.0,5263.16,13698.0
12808,2017-10-05 14:04:14.799510,25.0,5524.86,13513.0
12809,2017-10-05 14:04:15.822747,24.75,5128.21,13513.0
12810,2017-10-05 14:04:16.863015,25.0,5263.16,13698.0
12811,2017-10-05 14:04:17.901943,24.5,5524.86,13333.0
12812,2017-10-05 14:04:18.941673,25.0,5263.16,13513.0
12813,2017-10-05 14:04:19.981229,24.5,5263.16,13698.0
12814,2017-10-05 14:04:21.004582,25.0,5263.16,13698.0
12815,2017-10-05 14:04:22.044359,25.0,5464.48,13513.0
12816,2017-10-05 14:04:23.083863,25.0,5434.78,13513.0
12817,2017-10-05 14:04:24.123548,24.25,5235.6,13698.0
12818,2017-10-05 14:04:25.147300,24.5,5263.16,13698.0
12819,2017-10-05 14:04:26.186878,25.0,5291.01,13698.0
12820,2017-10-05 14:04:27.226156,24.75,5263.16,13513.0
12821,2017-10-05 14:04:28.265862,24.5,5319.15,13513.0
12822,2017-10-05 14:04:29.305448,25.0,5263.16,13698.0
12823,2017-10-05 14:04:30.328999,24.5,5208.33,13513.0
12824,2017-10-05 14:04:31.368392,24.5,5263.16,13513.0
12825,2017-10-05 14:04:32.408288,25.0,5263.16,13698.0
12826,2017-10-05 14:04:33.447748,24.25,5319.15,13157.0
12827,2017-10-05 14:04:34.471455,25.0,5263.16,13513.0
12828,2017-10-05 14:04:35.511072,24.75,5263.16,13513.0
12829,2017-10-05 14:04:36.550343,24.5,5263.16,13513.0
12830,2017-10-05 14:04:37.590045,24.25,5263.16,13698.0
12831,2017-10-05 14:04:38.629628,25.0,5263.16,13513.0
12832,2017-10-05 14:04:39.653400,24.5,5263.16,13698.0
12833,2017-10-05 14:04:40.692993,25.0,5263.16,13698.0
12834,2017-10-05 14:04:41.732609,25.0,5154.64,13513.0
12835,2017-10-05 14:04:42.771857,24.75,5263.16,13513.0
12836,2017-10-05 14:04:43.795709,24.75,5263.16,13513.0
12837,2017-10-05 14:04:44.835446,24.75,5464.48,13513.0
12838,2017-10-05 14:04:45.874689,25.0,5263.16,13698.0
12839,2017-10-05 14:04:46.914282,25.0,5181.35,13513.0
12840,2017-10-05 14:04:47.953940,24.75,5154.64,13513.0
12841,2017-10-05 14:04:48.977182,24.5,5555.56,13513.0
12842,2017-10-05 14:04:50.016677,25.0,5263.16,13513.0
12843,2017-10-05 14:04:51.056461,25.0,5434.78,12987.0
12844,2017-10-05 14:04:52.095907,24.5,5263.16,13513.0
12845,2017-10-05 14:04:53.119559,24.0,5291.01,13513.0
12846,2017-10-05 14:04:54.159340,24.75,5263.16,13513.0
12847,2017-10-05 14:04:55.198644,24.75,5464.48,13698.0
12848,2017-10-05 14:04:56.238257,25.0,5102.04,13513.0
12849,2017-10-05 14:04:57.277963,24.75,5208.33,13513.0
